country,A,ADV,ADVPRO,ANUM,APRO,COM,CONJ,INTJ,NUM,PART,PR,S,SPRO,V,number.of.tales
Американские,4551,4020,1698,179,3536,0,6997,170,464,3328,7453,18839,6160,13542,84
Корейские,3300,3151,1655,189,2644,1,6185,142,500,3432,6252,19133,5290,15882,93
Русские,22817,18997,8122,1160,18795,6,42576,1738,3657,22941,45123,126689,39234,110946,581
Мадагаскарские,323,321,158,9,314,0,722,7,51,293,658,1817,904,1737,15
Боснийские,1147,1110,538,73,1272,0,2844,58,318,1352,2807,7115,2573,5889,21
Танзанийские,173,100,74,5,145,0,281,3,12,118,252,706,261,535,3
Нивхские,819,872,387,29,770,0,883,53,93,521,1616,4345,1026,3735,14
Йеменские,13,4,4,1,9,0,24,0,2,11,16,49,12,39,1
Сербские,508,643,395,51,693,0,1874,25,140,806,1451,3993,1751,3772,31
Ительменские,164,217,73,1,98,0,256,11,10,141,259,794,281,731,6
Юкагирские,247,181,84,6,186,0,229,10,11,112,352,1145,288,1163,9
Корякские,622,775,318,36,493,0,1131,56,61,655,1253,4031,1336,3718,26
Кабардинские,198,237,94,21,209,0,352,8,32,216,428,1194,520,1143,7
Айнские,176,213,102,4,182,0,322,9,16,154,281,652,370,746,5
Керекские,261,350,180,0,215,0,460,81,12,532,508,1799,600,1773,9
Долганские,335,310,131,16,261,0,513,8,57,257,530,1617,478,1403,11
Чеченские,525,562,247,50,520,0,1076,17,102,473,1154,2743,1232,2711,9
Удэгейские,1176,1425,684,50,1087,0,1949,75,122,1253,2543,7581,2510,7033,23
Арабские,1183,1312,530,45,1549,0,2899,29,210,1198,2591,6935,3215,6181,20
Кумыкские,273,227,115,18,228,0,473,15,53,265,520,1540,541,1269,7
Мордовские,320,319,144,9,280,0,539,15,23,334,598,1697,642,1591,5
Селькупские,463,584,287,15,557,0,653,14,102,430,1088,3358,910,2863,10
Непальские,304,333,142,24,341,0,593,20,25,316,626,1651,567,1325,8
Исландские,1175,1632,831,72,1631,0,3294,14,137,1184,3282,7303,3436,6680,49
Орочские,166,202,98,8,144,0,284,3,18,160,389,1020,260,888,7
Швейцарские,2393,1211,386,46,1186,0,2125,13,115,836,2994,8185,1653,4842,20
Немецкие,241,231,108,8,200,0,461,10,47,235,408,949,539,930,9
Коми-зырянские,339,374,135,26,291,0,569,13,42,403,679,1934,557,1690,6
Итальянские,3803,3597,1602,255,3179,1,6994,203,550,3731,6542,18750,6511,14780,66
Эвенкийские,1412,1693,829,94,1567,0,2396,41,270,1324,3111,9231,3019,8940,53
Таджикские,4175,3934,1541,192,4404,0,7816,237,580,3449,9597,25540,8690,20871,121
Цыганские,2497,2326,1401,118,2910,0,5861,113,258,3248,5377,14089,5702,12996,66
Балкарские,105,83,31,6,66,0,181,0,3,76,145,476,160,399,2
Литовские,411,397,177,16,380,0,951,27,35,510,873,2468,864,2282,13
Финские,154,191,77,10,128,0,324,12,8,178,337,980,229,814,11
Словацкие,5539,5993,2825,432,5487,0,12164,326,761,6709,11797,28400,10729,27192,57
Азербайджанские,3459,3581,1605,214,4471,0,7675,66,672,3441,7781,21314,8730,18687,47
Татарские,549,605,290,33,556,0,1048,41,53,634,1147,3241,1237,3027,12
Персидские,375,608,296,25,541,0,1357,28,88,612,1129,3083,1616,3067,10
Хорватские,457,493,272,23,460,0,1344,26,65,550,1019,2731,1100,2492,18
Английские,5245,4645,1912,163,4124,0,9633,310,467,4443,8550,22208,8408,18520,81
Башкирские,648,633,327,18,602,0,1270,32,67,569,1297,3635,1246,3220,22
Греческие,606,440,288,21,465,0,1075,25,73,557,1049,2978,974,2567,9
Эстонские,869,739,349,47,682,0,1456,28,92,808,1549,4110,1222,3327,11
Бурятские,1820,1452,584,60,1421,1,2514,38,252,1138,2887,8307,2569,7036,44
Орокские,242,291,129,4,275,0,423,12,26,205,522,1491,478,1335,10
Австралийские,444,452,203,7,459,0,1042,11,32,246,847,2466,695,1840,20
Ирландские,3580,2896,1304,139,3568,0,6323,148,406,3281,5686,13730,5986,10864,48
Каракалпакские,19,27,4,0,11,0,23,3,0,13,27,88,28,65,1
Мексиканские,292,233,80,9,204,0,471,9,20,197,415,1100,439,914,6
Болгарские,1573,1264,665,110,1528,0,3328,91,243,1534,3356,8700,3325,7880,36
Суданские,374,396,227,19,480,0,847,5,29,381,705,2065,1086,1959,11
Карельские,1378,1372,627,117,1150,0,2733,50,191,1483,2993,8099,2560,7285,32
Ингушские,548,617,234,39,593,0,1122,3,63,516,1136,3158,1448,3022,20
Ассирийские,928,1040,488,62,1218,0,2062,28,138,875,1923,5161,2489,4993,91
Энецкие,121,134,103,9,180,0,224,5,51,178,271,846,359,817,5
Чувашские,2299,2075,934,138,2009,0,4208,77,383,2132,4688,12481,3436,10477,37
Бразильские,3067,2721,1432,91,3057,0,6146,66,247,2300,5442,15541,5137,12181,82
Норвежские,2631,2961,1392,134,2456,1,6096,63,292,3462,5326,12982,5629,11576,41
Индейские,774,722,353,44,577,0,1258,15,43,527,1250,3431,1200,2801,25
Саамские,584,511,234,24,500,0,1033,7,56,406,1094,3113,832,2680,20
Аварские,1265,1135,390,65,1001,0,2122,25,132,897,1899,5738,2048,5249,57
Шорские,376,359,117,15,325,0,433,6,40,265,741,2159,580,1564,7
Испанские,933,946,459,86,854,0,2031,52,111,1085,1857,5071,1806,4376,52
Даргинские,41,44,12,5,47,0,78,3,8,51,98,264,96,190,1
Филиппинские,477,629,239,32,497,5,1102,11,67,435,1018,2839,1120,2569,16
Нганасанские,448,527,259,29,499,0,647,26,142,403,964,2558,821,2333,9
Эвенские,352,535,290,23,461,0,678,18,49,485,780,2883,990,2678,18
Папуасские,441,717,366,23,751,0,1328,46,59,454,1343,3267,1629,2966,11
Креольские,713,954,459,52,794,0,2018,77,95,922,1840,4768,2027,4377,18
Македонские,1049,1124,595,71,921,0,2481,56,154,1485,2011,5596,2076,5342,24
Абхазские,3510,3635,1830,168,4120,1,8115,101,375,3464,8159,21300,9373,19759,127
Пакистанские,895,973,443,82,1162,0,2106,20,125,885,1959,5261,2054,4542,17
Лаосские,424,369,121,13,274,0,535,8,24,270,632,1681,493,1341,7
Вьетнамские,2734,2741,1025,106,2362,2,4855,96,308,2423,5023,13611,4321,11502,52
Даосские,223,163,63,14,238,0,445,7,20,260,410,1209,417,930,34
Тувинские,1114,795,351,34,752,0,1447,34,107,659,1604,5194,1641,4094,26
Египетские,437,304,175,24,743,0,985,10,72,338,1046,2466,1567,2111,9
Иранские,1328,1270,619,44,1542,0,3002,38,179,1164,2777,7348,3565,6509,15
Тофаларские,539,491,206,27,401,0,829,9,52,328,861,2494,793,2136,30
Тайские,129,100,40,3,106,0,205,0,18,77,232,672,169,481,4
Мансийские,495,486,215,21,378,0,461,7,45,347,758,2431,670,2416,11
Дунганские,232,242,80,10,158,0,418,6,30,175,441,1209,338,1008,5
Шведские,874,803,359,38,763,0,2005,31,91,906,1719,4617,1847,3889,17
Бушменские,224,270,171,3,334,0,610,7,13,185,456,1402,618,1247,17
Португальские,308,363,126,12,260,0,631,12,66,314,529,1466,535,1330,10
Латышские,2686,3683,2038,337,3109,0,7472,165,480,4586,6849,18777,6203,17204,129
Кубинские,251,336,153,12,307,0,638,18,70,333,626,1639,640,1468,26
Курдские,58,38,20,5,92,0,123,0,9,48,111,390,130,306,1
Бирманские,3081,3360,1302,124,2795,0,5802,80,299,2875,5547,14906,5527,12357,121
Эфиопские,310,317,203,19,444,0,698,7,45,431,543,1425,895,1556,19
Эганасанские,21,13,1,0,10,0,27,0,4,10,38,99,26,58,1
Кхмерские,240,297,128,11,235,1,529,26,27,299,502,1503,541,1382,9
Саларские,14,10,2,0,19,0,44,0,2,12,45,139,31,98,1
Мавриканские,142,185,75,7,147,0,341,9,20,164,389,938,384,821,2
Ненецкие,491,519,231,29,476,0,592,59,104,429,991,2860,794,2447,15
Турецкие,1074,1113,555,40,1479,0,2541,55,214,1300,2523,7073,2863,6154,18
Баскские,331,365,231,27,368,1,879,2,41,446,836,2269,631,1836,14
Ульчские,624,565,222,21,528,0,920,22,52,472,1098,3193,978,2705,8
Вепские,25,75,29,47,66,0,82,0,13,82,89,227,68,238,1
Лакские,703,664,231,36,629,0,1199,51,52,566,1378,4036,1295,3336,13
Афганские,1966,2085,979,79,2037,0,3975,91,273,1812,3782,10607,3897,8852,117
Албанские,546,650,275,21,567,0,1201,30,104,572,1151,3086,1284,2769,22
Африканские,2131,2983,1393,143,3203,0,5863,165,222,2802,5041,15431,8599,16160,117
Лезгинские,46,67,38,0,73,0,113,5,29,63,140,387,139,336,1
Якутские,1242,1022,507,30,1099,0,1866,48,129,965,2091,5760,1981,5012,32
Осетинские,1310,1386,654,85,1954,1,3092,32,231,1385,3207,8286,4197,7440,28
